lab_name,plan_id,nb_features,days_subscribed,nb_cases_month,nb_units_month,nb_other_settings_month,nb_other_products_month,nb_clients_month,nb_shipping_zipcodes_month,cluster_5,cluster_6
P5I-I402,6,19,1314,141,588,0,0,141,140,1,2
P3C-M422,4,23,1345,695,986,40,0,695,695,5,1
P8L-R780,6,19,1780,122,294,0,1,122,122,1,2
P17K-R730,7,17,1101,384,640,80,162,384,382,5,1
P22N-R802,10,8,550,38,62,0,0,38,38,3,6
P20O-R239,6,20,1356,127,225,12,1,127,127,1,2
P14B-R353,2,7,93,66,86,1,0,66,66,3,6
P5O-R977,3,15,61,125,242,0,0,125,121,3,6
P18B-R561,6,19,1373,51,72,7,0,51,50,1,2
P13L-R463,6,19,1346,514,632,69,0,514,512,5,1
P14B-R901,4,23,1675,610,934,37,2,610,565,5,1
P21S-R945,6,19,1200,106,115,1,0,106,106,1,2
P12S-R568,11,14,157,580,857,139,6,580,578,5,1
P12L-R154,4,23,1733,1006,1389,312,5,1006,1005,5,1
P21B-R177,8,22,1479,727,939,9,0,727,716,5,1
P28Y-R566,1,1,120,69,185,0,108,69,69,3,6
P17B-R797,7,17,992,227,322,4,0,227,218,1,2
P18S-R865,8,21,1797,114,226,4,190,114,108,1,2
P7T-R952,10,9,414,138,186,1,0,138,138,3,6
Q9T-U391,4,23,2140,850,1942,59,0,850,4,5,1
Q17S-U488,6,19,2064,72,165,0,0,72,72,1,2
Q16B-U397,6,19,2063,190,258,30,0,190,189,1,2
Q15L-V462,5,8,884,167,327,0,0,167,137,3,6
R7T-A559,10,8,215,45,47,93,0,45,45,3,6
R3M-A577,4,17,923,2371,4682,0,0,2371,0,2,3
R9B-A950,11,14,284,322,454,0,0,322,322,3,6
R7K-E611,11,15,590,48,84,0,23,48,48,3,6
R10R-E362,11,14,631,5,18,0,0,5,2,3,6
R15S-E572,10,8,305,121,228,1,25,121,121,3,6
R15B-E108,6,19,1571,90,145,3,0,90,90,1,2
R17S-E550,3,15,45,17,17,0,0,17,16,3,6
R10N-E662,11,15,150,830,1398,36,0,830,718,5,1
R16L-E577,7,17,1048,245,291,195,0,245,245,1,2
R3K-G945,6,21,1515,42,67,0,0,42,40,1,2
R21S-G652,5,5,732,209,323,0,0,209,208,3,6
R18O-I928,6,19,1728,101,145,24,0,101,101,1,2
R9E-I801,6,19,2246,146,238,4,0,146,146,1,2
R10L-I142,9,1,303,251,430,0,0,251,250,3,6
R12S-I208,7,17,1038,146,205,16,0,146,138,1,2
R4A-M592,7,16,647,58,164,1,0,58,58,3,6
R14B-O541,3,22,1208,713,2526,0,0,713,16,5,1
R7B-V306,8,21,1706,396,611,21,10,396,396,1,2
R16B-Y187,8,21,2042,383,440,69,0,383,383,1,2
R5C-Y546,6,19,2531,176,242,24,0,176,176,1,2
S10L-A804,2,7,579,559,762,50,1,559,559,3,6
S7B-A714,5,15,1013,64,158,0,64,64,62,1,2
S14S-A825,4,23,1711,1453,2617,4,0,1453,1418,2,3
S8E-A697,6,19,1626,220,256,0,0,220,208,1,2
S5C-A587,6,20,2079,76,160,14,0,76,76,1,2
S19C-C317,9,1,328,87,130,1,0,87,86,3,6
S16L-C223,9,1,358,2,8,0,0,2,2,3,6
S8C-C501,5,5,625,511,755,68,1,511,511,3,6
S9E-C519,6,20,1385,70,321,1,15,70,70,1,2
S3T-D711,6,19,2007,342,555,54,0,342,341,1,2
S8K-E301,7,17,1032,512,664,44,7,512,512,5,1
S17S-E799,8,21,2188,443,600,0,0,443,443,1,2
S15B-E325,7,18,1143,122,330,15,1,122,122,1,2
S12L-E601,7,23,1193,559,822,2,7,559,559,5,1
S15B-E589,4,23,1676,1264,2034,27,0,1264,1259,2,3
S12A-H614,9,14,299,23,53,0,0,23,0,3,6
S8I-H940,6,19,1273,97,260,0,0,97,97,1,2
S16S-I101,6,19,1355,149,237,1,2,149,149,1,2
S11L-I218,6,19,1359,365,529,0,0,365,274,1,2
S23B-I123,1,7,31,153,172,20,0,153,153,3,6
S16B-K576,8,21,1290,520,541,116,0,520,515,5,1
S12B-K575,6,19,1586,281,457,496,0,281,267,1,1
S6B-K583,9,1,297,12,15,2,0,12,12,3,6
S14L-M127,4,23,1894,691,1141,333,0,691,645,5,1
S8B-M127,5,5,901,1137,1723,199,136,1137,1137,5,3
S12S-M890,3,16,103,65,96,0,0,65,65,3,6
S10Y-M248,5,16,1214,107,312,0,1,107,80,1,2
S10S-M896,6,19,1949,152,289,11,9,152,152,1,2
S13L-O340,7,17,834,509,699,40,8,509,509,5,1
S14S-O940,6,19,956,426,430,112,0,426,426,1,1
S16B-P300,7,16,1039,591,713,508,0,591,590,5,1
S11S-P184,6,19,1713,226,391,42,0,226,223,1,2
S8B-S333,5,15,836,175,269,0,0,175,175,3,6
S13B-T978,10,8,502,86,118,39,0,86,86,3,6
S3L-T310,11,14,114,300,844,1,0,300,0,3,6
S5E-T859,3,15,88,304,408,0,6,304,304,3,6
S10E-T603,6,19,1879,312,475,0,0,312,312,1,2
S22O-T122,5,5,716,12,23,0,0,12,12,3,6
S13L-T235,7,17,1151,669,927,162,0,669,669,5,1
S82-T864,2,7,142,79,130,2,1,79,79,3,6
S9E-T900,6,19,1738,17,67,0,4,17,17,1,2
S9T-T800,1,1,16,38,74,49,0,38,38,3,6
S7I-U277,5,6,1013,83,148,2,2,83,83,3,6
S19S-U172,11,14,402,1,2,0,0,1,1,3,6
S14S-U696,6,20,1559,250,310,8,1,250,245,1,2
S8B-W396,4,22,1970,743,1037,113,12,743,731,5,1
S9D-Y475,8,21,1160,511,771,0,0,511,495,5,1
S21S-Y159,7,18,794,372,1131,0,21,372,371,5,1
T7A-A832,1,1,142,18,48,1,1,18,18,3,6
T7B-A665,4,23,239,116,242,2,0,116,116,1,2
T12T-A817,6,19,1879,41,131,8,0,41,27,1,2
T4A-D867,4,21,136,45,143,0,1,45,45,3,6
T15B-E754,1,1,16,30,200,150,0,30,0,3,6
T17L-H289,6,19,1272,311,597,0,0,311,311,1,2
T15S-H170,7,17,761,312,366,2,0,312,312,1,2
T19P-H193,5,16,1173,49,69,2,0,49,49,1,2
T12S-H541,7,17,774,301,319,5,0,301,300,1,2
T72-I963,3,15,81,20,44,0,0,20,20,3,6
T7S-I557,6,21,1724,340,485,124,0,340,338,1,2
T15B-O184,5,5,878,238,442,0,39,238,238,3,6
T9E-R492,5,5,653,235,341,0,0,235,234,3,6
T11N-R800,2,23,1027,218,320,4,2,218,217,1,2
T15B-R467,9,1,614,121,178,8,0,121,120,3,6
T14L-R554,10,8,487,118,127,143,24,118,118,3,6
T7G-R244,4,23,1910,803,1076,24,7,803,803,5,1
T8N-R348,6,19,1636,156,261,18,0,156,156,1,2
T8E-R462,7,16,667,97,147,1,0,97,97,3,6
T9N-R401,10,8,499,380,636,645,0,380,380,5,1
T3D-S123,4,23,1978,1647,2586,142,83,1647,1644,2,3
T3E-T215,6,19,1389,524,851,0,0,524,522,5,1
U3L-D872,2,8,92,77,117,0,0,77,77,3,6
U14S-L541,6,19,2671,88,295,0,0,88,87,1,2
U9L-N356,7,17,988,317,486,28,0,317,317,1,2
U9L-N431,5,5,1146,531,565,0,0,531,531,3,6
V3I-A182,8,17,1184,41,66,2,0,41,37,1,2
V11B-A434,6,20,1782,152,348,0,0,152,0,1,2
V3A-D639,4,23,2552,1960,2879,31,34,1960,1958,2,3
V3S-D378,6,20,2637,147,176,2,0,147,145,1,2
V12L-E503,1,7,53,116,187,0,21,116,64,3,6
V4S-E724,4,23,1718,863,1107,0,0,863,857,5,1
V5S-I555,4,23,2463,837,1210,109,0,837,836,5,1
V9L-I870,7,17,739,210,599,47,5,210,202,1,2
V8Y-I583,2,22,1688,14,18,1,1,14,14,1,2
W3L-D674,4,23,1991,569,776,13,614,569,569,5,1
W13L-E260,6,19,1600,211,280,203,5,211,211,1,2
W13B-E643,11,14,471,1173,1559,201,71,1173,1172,5,3
W14L-E515,4,23,1566,390,922,26,5,390,390,1,1
W9K-H202,8,23,2014,412,593,52,0,412,412,1,2
W5D-I928,6,19,2193,65,74,17,0,65,62,1,2
W7R-V272,9,1,242,238,1065,23,169,238,238,3,6
W11L-Y440,9,15,138,31,212,0,0,31,31,3,6
X3L-D656,8,22,2344,578,899,7,0,578,576,5,1
X3Z-Y313,11,14,470,120,221,89,0,120,118,3,6
Y10T-D440,11,15,147,632,1048,172,165,632,628,5,1
Y12H-G993,7,16,1171,885,1171,187,0,885,871,5,1
Z10R-A319,6,19,1314,25,49,0,0,25,25,1,2
